cov_RPM,BRITE,sample,type,species
1085.38,Aminobenzoate_degradation,SBBP2_FOOD_allbrites,FOOD,SB
1127.56,Aminobenzoate_degradation,SDBP3_FOOD_allbrites,FOOD,SD
1030.91,Aminobenzoate_degradation,SDBP4_FOOD_allbrites,FOOD,SD
9.25,Amoebiasis,SBBP1_FOOD_allbrites,FOOD,SB
0,Amoebiasis,SBBP2_FOOD_allbrites,FOOD,SB
2.72,Amoebiasis,SDBP3_FOOD_allbrites,FOOD,SD
0,Amoebiasis,SDBP4_FOOD_allbrites,FOOD,SD
0,AMPK_signaling_pathway,SBBP1_FOOD_allbrites,FOOD,SB
0,AMPK_signaling_pathway,SBBP2_FOOD_allbrites,FOOD,SB
4.3,AMPK_signaling_pathway,SDBP3_FOOD_allbrites,FOOD,SD
0,AMPK_signaling_pathway,SDBP4_FOOD_allbrites,FOOD,SD
693.71,Amyotrophic_lateral_sclerosis,SBBP1_FOOD_allbrites,FOOD,SB
705.98,Amyotrophic_lateral_sclerosis,SBBP2_FOOD_allbrites,FOOD,SB
406.45,Amyotrophic_lateral_sclerosis,SDBP3_FOOD_allbrites,FOOD,SD
622.06,Amyotrophic_lateral_sclerosis,SDBP4_FOOD_allbrites,FOOD,SD
1303.29,Antifolate_resistance,SBBP1_FOOD_allbrites,FOOD,SB
1141.37,Antifolate_resistance,SBBP2_FOOD_allbrites,FOOD,SB
1218.55,Antifolate_resistance,SDBP3_FOOD_allbrites,FOOD,SD
1292.64,Antifolate_resistance,SDBP4_FOOD_allbrites,FOOD,SD
15.88,Antigen_processing_and_presentation,SBBP1_FOOD_allbrites,FOOD,SB
16.68,Antigen_processing_and_presentation,SBBP2_FOOD_allbrites,FOOD,SB
0,Antigen_processing_and_presentation,SDBP3_FOOD_allbrites,FOOD,SD
0,Antigen_processing_and_presentation,SDBP4_FOOD_allbrites,FOOD,SD
1570.7,Antimicrobial_resistance_genes,SBBP1_FOOD_allbrites,FOOD,SB
1346.17,Antimicrobial_resistance_genes,SBBP2_FOOD_allbrites,FOOD,SB
1786.14,Antimicrobial_resistance_genes,SDBP3_FOOD_allbrites,FOOD,SD
1227.86,Antimicrobial_resistance_genes,SDBP4_FOOD_allbrites,FOOD,SD
0,Apelin_signaling_pathway,SBBP1_FOOD_allbrites,FOOD,SB
0,Apelin_signaling_pathway,SBBP2_FOOD_allbrites,FOOD,SB
0,Apelin_signaling_pathway,SDBP3_FOOD_allbrites,FOOD,SD
0,Apelin_signaling_pathway,SDBP4_FOOD_allbrites,FOOD,SD
47.34,Apoptosis,SBBP1_FOOD_allbrites,FOOD,SB
82.81,Apoptosis,SBBP2_FOOD_allbrites,FOOD,SB
11.44,Apoptosis,SDBP3_FOOD_allbrites,FOOD,SD
0,Apoptosis,SDBP4_FOOD_allbrites,FOOD,SD
40.81,Apoptosis_-_fly,SBBP1_FOOD_allbrites,FOOD,SB
30.96,Apoptosis_-_fly,SBBP2_FOOD_allbrites,FOOD,SB
11.61,Apoptosis_-_fly,SDBP3_FOOD_allbrites,FOOD,SD
0,Apoptosis_-_fly,SDBP4_FOOD_allbrites,FOOD,SD
16.82,Apoptosis_-_multiple_species,SBBP1_FOOD_allbrites,FOOD,SB
17.02,Apoptosis_-_multiple_species,SBBP2_FOOD_allbrites,FOOD,SB
3.85,Apoptosis_-_multiple_species,SDBP3_FOOD_allbrites,FOOD,SD
0,Apoptosis_-_multiple_species,SDBP4_FOOD_allbrites,FOOD,SD
710.61,Arabinogalactan_biosynthesis_-_Mycobacterium,SBBP1_FOOD_allbrites,FOOD,SB
456.44,Arabinogalactan_biosynthesis_-_Mycobacterium,SBBP2_FOOD_allbrites,FOOD,SB
805.88,Arabinogalactan_biosynthesis_-_Mycobacterium,SDBP3_FOOD_allbrites,FOOD,SD
574.01,Arabinogalactan_biosynthesis_-_Mycobacterium,SDBP4_FOOD_allbrites,FOOD,SD
0,Arachidonic_acid_metabolism,SBBP1_FOOD_allbrites,FOOD,SB
0,Arachidonic_acid_metabolism,SBBP2_FOOD_allbrites,FOOD,SB
11.54,Arachidonic_acid_metabolism,SDBP3_FOOD_allbrites,FOOD,SD
53.04,Arachidonic_acid_metabolism,SDBP4_FOOD_allbrites,FOOD,SD
1103.43,Arginine_and_proline_metabolism,SBBP1_FOOD_allbrites,FOOD,SB
980.41,Arginine_and_proline_metabolism,SBBP2_FOOD_allbrites,FOOD,SB
1139.83,Arginine_and_proline_metabolism,SDBP3_FOOD_allbrites,FOOD,SD
1086.85,Arginine_and_proline_metabolism,SDBP4_FOOD_allbrites,FOOD,SD
3120.78,Arginine_biosynthesis,SBBP1_FOOD_allbrites,FOOD,SB
2990.15,Arginine_biosynthesis,SBBP2_FOOD_allbrites,FOOD,SB
2604.72,Arginine_biosynthesis,SDBP3_FOOD_allbrites,FOOD,SD
2143.03,Arginine_biosynthesis,SDBP4_FOOD_allbrites,FOOD,SD
49.33,Ascorbate_and_aldarate_metabolism,SBBP1_FOOD_allbrites,FOOD,SB
34.79,Ascorbate_and_aldarate_metabolism,SBBP2_FOOD_allbrites,FOOD,SB
24.78,Ascorbate_and_aldarate_metabolism,SDBP3_FOOD_allbrites,FOOD,SD
0,Ascorbate_and_aldarate_metabolism,SDBP4_FOOD_allbrites,FOOD,SD
0,ATP-dependent_chromatin_remodeling,SBBP1_FOOD_allbrites,FOOD,SB
0,ATP-dependent_chromatin_remodeling,SBBP2_FOOD_allbrites,FOOD,SB
0,ATP-dependent_chromatin_remodeling,SDBP3_FOOD_allbrites,FOOD,SD
0,ATP-dependent_chromatin_remodeling,SDBP4_FOOD_allbrites,FOOD,SD
0,Atrazine_degradation,SBBP1_FOOD_allbrites,FOOD,SB
0,Atrazine_degradation,SBBP2_FOOD_allbrites,FOOD,SB
9.16,Atrazine_degradation,SDBP3_FOOD_allbrites,FOOD,SD
0,Atrazine_degradation,SDBP4_FOOD_allbrites,FOOD,SD
121.8,Autophagy_-_animal,SBBP1_FOOD_allbrites,FOOD,SB
226.34,Autophagy_-_animal,SBBP2_FOOD_allbrites,FOOD,SB
26.28,Autophagy_-_animal,SDBP3_FOOD_allbrites,FOOD,SD
169.4,Autophagy_-_animal,SDBP4_FOOD_allbrites,FOOD,SD
121.8,Autophagy_-_other,SBBP1_FOOD_allbrites,FOOD,SB
226.34,Autophagy_-_other,SBBP2_FOOD_allbrites,FOOD,SB
26.28,Autophagy_-_other,SDBP3_FOOD_allbrites,FOOD,SD
169.4,Autophagy_-_other,SDBP4_FOOD_allbrites,FOOD,SD
130.43,Autophagy_-_yeast,SBBP1_FOOD_allbrites,FOOD,SB
236.76,Autophagy_-_yeast,SBBP2_FOOD_allbrites,FOOD,SB
34.87,Autophagy_-_yeast,SDBP3_FOOD_allbrites,FOOD,SD
169.4,Autophagy_-_yeast,SDBP4_FOOD_allbrites,FOOD,SD
0,Axon_guidance,SBBP1_FOOD_allbrites,FOOD,SB
0,Axon_guidance,SBBP2_FOOD_allbrites,FOOD,SB
0,Axon_guidance,SDBP3_FOOD_allbrites,FOOD,SD
0,Axon_guidance,SDBP4_FOOD_allbrites,FOOD,SD
818.64,Axon_regeneration,SBBP1_FOOD_allbrites,FOOD,SB
596.73,Axon_regeneration,SBBP2_FOOD_allbrites,FOOD,SB
915.24,Axon_regeneration,SDBP3_FOOD_allbrites,FOOD,SD
956.85,Axon_regeneration,SDBP4_FOOD_allbrites,FOOD,SD
202.56,Bacterial_chemotaxis,SBBP1_FOOD_allbrites,FOOD,SB
188.29,Bacterial_chemotaxis,SBBP2_FOOD_allbrites,FOOD,SB
58.17,Bacterial_chemotaxis,SDBP3_FOOD_allbrites,FOOD,SD
0,Bacterial_chemotaxis,SDBP4_FOOD_allbrites,FOOD,SD
191.58,Bacterial_invasion_of_epithelial_cells,SBBP1_FOOD_allbrites,FOOD,SB
109.85,Bacterial_invasion_of_epithelial_cells,SBBP2_FOOD_allbrites,FOOD,SB
263.78,Bacterial_invasion_of_epithelial_cells,SDBP3_FOOD_allbrites,FOOD,SD
236.43,Bacterial_invasion_of_epithelial_cells,SDBP4_FOOD_allbrites,FOOD,SD
2301.99,Bacterial_motility_proteins,SBBP1_FOOD_allbrites,FOOD,SB
1910.33,Bacterial_motility_proteins,SBBP2_FOOD_allbrites,FOOD,SB
1294.11,Bacterial_motility_proteins,SDBP3_FOOD_allbrites,FOOD,SD
1271.25,Bacterial_motility_proteins,SDBP4_FOOD_allbrites,FOOD,SD
5049.32,Bacterial_secretion_system,SBBP1_FOOD_allbrites,FOOD,SB
5497.62,Bacterial_secretion_system,SBBP2_FOOD_allbrites,FOOD,SB
5526.85,Bacterial_secretion_system,SDBP3_FOOD_allbrites,FOOD,SD
5798.01,Bacterial_secretion_system,SDBP4_FOOD_allbrites,FOOD,SD
785.96,Bacterial_toxins,SBBP1_FOOD_allbrites,FOOD,SB
906.35,Bacterial_toxins,SBBP2_FOOD_allbrites,FOOD,SB
782.26,Bacterial_toxins,SDBP3_FOOD_allbrites,FOOD,SD
468.54,Bacterial_toxins,SDBP4_FOOD_allbrites,FOOD,SD
0,Basal_transcription_factors,SBBP1_FOOD_allbrites,FOOD,SB
0,Basal_transcription_factors,SBBP2_FOOD_allbrites,FOOD,SB
0,Basal_transcription_factors,SDBP3_FOOD_allbrites,FOOD,SD
85.83,Basal_transcription_factors,SDBP4_FOOD_allbrites,FOOD,SD
5326.43,Base_excision_repair,SBBP1_FOOD_allbrites,FOOD,SB
5272.47,Base_excision_repair,SBBP2_FOOD_allbrites,FOOD,SB
5351.93,Base_excision_repair,SDBP3_FOOD_allbrites,FOOD,SD
5384.36,Base_excision_repair,SDBP4_FOOD_allbrites,FOOD,SD
589.28,Benzoate_degradation,SBBP1_FOOD_allbrites,FOOD,SB
1051.67,Benzoate_degradation,SBBP2_FOOD_allbrites,FOOD,SB
1257.49,Benzoate_degradation,SDBP3_FOOD_allbrites,FOOD,SD
1283.08,Benzoate_degradation,SDBP4_FOOD_allbrites,FOOD,SD
272.23,beta-Alanine_metabolism,SBBP1_FOOD_allbrites,FOOD,SB
246.04,beta-Alanine_metabolism,SBBP2_FOOD_allbrites,FOOD,SB
399.66,beta-Alanine_metabolism,SDBP3_FOOD_allbrites,FOOD,SD
110.94,beta-Alanine_metabolism,SDBP4_FOOD_allbrites,FOOD,SD
4670.57,beta-Lactam_resistance,SBBP1_FOOD_allbrites,FOOD,SB
4731.95,beta-Lactam_resistance,SBBP2_FOOD_allbrites,FOOD,SB
5003.02,beta-Lactam_resistance,SDBP3_FOOD_allbrites,FOOD,SD
3709.51,beta-Lactam_resistance,SDBP4_FOOD_allbrites,FOOD,SD
0,Betalain_biosynthesis,SBBP1_FOOD_allbrites,FOOD,SB
0,Betalain_biosynthesis,SBBP2_FOOD_allbrites,FOOD,SB
0,Betalain_biosynthesis,SDBP3_FOOD_allbrites,FOOD,SD
0,Betalain_biosynthesis,SDBP4_FOOD_allbrites,FOOD,SD
0,Bile_secretion,SBBP1_FOOD_allbrites,FOOD,SB
0,Bile_secretion,SBBP2_FOOD_allbrites,FOOD,SB
72.49,Bile_secretion,SDBP3_FOOD_allbrites,FOOD,SD
15.74,Bile_secretion,SDBP4_FOOD_allbrites,FOOD,SD
302.71,Biofilm_formation_-_Escherichia_coli,SBBP1_FOOD_allbrites,FOOD,SB
285.14,Biofilm_formation_-_Escherichia_coli,SBBP2_FOOD_allbrites,FOOD,SB
134.94,Biofilm_formation_-_Escherichia_coli,SDBP3_FOOD_allbrites,FOOD,SD
132.4,Biofilm_formation_-_Escherichia_coli,SDBP4_FOOD_allbrites,FOOD,SD
87.88,Biofilm_formation_-_Pseudomonas_aeruginosa,SBBP1_FOOD_allbrites,FOOD,SB
85.98,Biofilm_formation_-_Pseudomonas_aeruginosa,SBBP2_FOOD_allbrites,FOOD,SB
104.29,Biofilm_formation_-_Pseudomonas_aeruginosa,SDBP3_FOOD_allbrites,FOOD,SD
96.64,Biofilm_formation_-_Pseudomonas_aeruginosa,SDBP4_FOOD_allbrites,FOOD,SD
707.35,Biofilm_formation_-_Vibrio_cholerae,SBBP1_FOOD_allbrites,FOOD,SB
885,Biofilm_formation_-_Vibrio_cholerae,SBBP2_FOOD_allbrites,FOOD,SB
784.94,Biofilm_formation_-_Vibrio_cholerae,SDBP3_FOOD_allbrites,FOOD,SD
730.41,Biofilm_formation_-_Vibrio_cholerae,SDBP4_FOOD_allbrites,FOOD,SD
18.27,Biosynthesis_of_ansamycins,SBBP1_FOOD_allbrites,FOOD,SB
15.57,Biosynthesis_of_ansamycins,SBBP2_FOOD_allbrites,FOOD,SB
28.02,Biosynthesis_of_ansamycins,SDBP3_FOOD_allbrites,FOOD,SD
0,Biosynthesis_of_ansamycins,SDBP4_FOOD_allbrites,FOOD,SD
15.44,Biosynthesis_of_enediyne_antibiotics,SBBP1_FOOD_allbrites,FOOD,SB
0,Biosynthesis_of_enediyne_antibiotics,SBBP2_FOOD_allbrites,FOOD,SB
57.52,Biosynthesis_of_enediyne_antibiotics,SDBP3_FOOD_allbrites,FOOD,SD
27.87,Biosynthesis_of_enediyne_antibiotics,SDBP4_FOOD_allbrites,FOOD,SD
6695.81,Biosynthesis_of_other_secondary_metabolites,SBBP1_FOOD_allbrites,FOOD,SB
7513.84,Biosynthesis_of_other_secondary_metabolites,SBBP2_FOOD_allbrites,FOOD,SB
7483.46,Biosynthesis_of_other_secondary_metabolites,SDBP3_FOOD_allbrites,FOOD,SD
7720.94,Biosynthesis_of_other_secondary_metabolites,SDBP4_FOOD_allbrites,FOOD,SD
0,Biosynthesis_of_siderophore_group_nonribosomal_peptides,SBBP1_FOOD_allbrites,FOOD,SB
0,Biosynthesis_of_siderophore_group_nonribosomal_peptides,SBBP2_FOOD_allbrites,FOOD,SB
7.11,Biosynthesis_of_siderophore_group_nonribosomal_peptides,SDBP3_FOOD_allbrites,FOOD,SD
0,Biosynthesis_of_siderophore_group_nonribosomal_peptides,SDBP4_FOOD_allbrites,FOOD,SD
14.36,Biosynthesis_of_unsaturated_fatty_acids,SBBP1_FOOD_allbrites,FOOD,SB
29.12,Biosynthesis_of_unsaturated_fatty_acids,SBBP2_FOOD_allbrites,FOOD,SB
4.14,Biosynthesis_of_unsaturated_fatty_acids,SDBP3_FOOD_allbrites,FOOD,SD
0,Biosynthesis_of_unsaturated_fatty_acids,SDBP4_FOOD_allbrites,FOOD,SD
0,Biosynthesis_of_vancomycin_group_antibiotics,SBBP1_FOOD_allbrites,FOOD,SB
0,Biosynthesis_of_vancomycin_group_antibiotics,SBBP2_FOOD_allbrites,FOOD,SB
0,Biosynthesis_of_vancomycin_group_antibiotics,SDBP3_FOOD_allbrites,FOOD,SD
0,Biosynthesis_of_vancomycin_group_antibiotics,SDBP4_FOOD_allbrites,FOOD,SD
913.81,Biosynthesis_of_various_antibiotics,SBBP1_FOOD_allbrites,FOOD,SB
1251.33,Biosynthesis_of_various_antibiotics,SBBP2_FOOD_allbrites,FOOD,SB
881.44,Biosynthesis_of_various_antibiotics,SDBP3_FOOD_allbrites,FOOD,SD
1601.31,Biosynthesis_of_various_antibiotics,SDBP4_FOOD_allbrites,FOOD,SD
0,Biosynthesis_of_various_other_secondary_metabolites,SBBP1_FOOD_allbrites,FOOD,SB
0,Biosynthesis_of_various_other_secondary_metabolites,SBBP2_FOOD_allbrites,FOOD,SB
8.22,Biosynthesis_of_various_other_secondary_metabolites,SDBP3_FOOD_allbrites,FOOD,SD
0,Biosynthesis_of_various_other_secondary_metabolites,SDBP4_FOOD_allbrites,FOOD,SD
763.15,Biosynthesis_of_various_plant_secondary_metabolites,SBBP1_FOOD_allbrites,FOOD,SB
989.21,Biosynthesis_of_various_plant_secondary_metabolites,SBBP2_FOOD_allbrites,FOOD,SB
1243.68,Biosynthesis_of_various_plant_secondary_metabolites,SDBP3_FOOD_allbrites,FOOD,SD
962.18,Biosynthesis_of_various_plant_secondary_metabolites,SDBP4_FOOD_allbrites,FOOD,SD
4188.26,Biotin_metabolism,SBBP1_FOOD_allbrites,FOOD,SB
4772.16,Biotin_metabolism,SBBP2_FOOD_allbrites,FOOD,SB
4897.01,Biotin_metabolism,SDBP3_FOOD_allbrites,FOOD,SD
4261.46,Biotin_metabolism,SDBP4_FOOD_allbrites,FOOD,SD
0,Bladder_cancer,SBBP1_FOOD_allbrites,FOOD,SB
0,Bladder_cancer,SBBP2_FOOD_allbrites,FOOD,SB
0,Bladder_cancer,SDBP3_FOOD_allbrites,FOOD,SD
0,Bladder_cancer,SDBP4_FOOD_allbrites,FOOD,SD
1250.84,Butanoate_metabolism,SBBP1_FOOD_allbrites,FOOD,SB
1957.25,Butanoate_metabolism,SBBP2_FOOD_allbrites,FOOD,SB
2433.72,Butanoate_metabolism,SDBP3_FOOD_allbrites,FOOD,SD
1512.08,Butanoate_metabolism,SDBP4_FOOD_allbrites,FOOD,SD
159.92,C5-Branched_dibasic_acid_metabolism,SBBP1_FOOD_allbrites,FOOD,SB
179.81,C5-Branched_dibasic_acid_metabolism,SBBP2_FOOD_allbrites,FOOD,SB
221.22,C5-Branched_dibasic_acid_metabolism,SDBP3_FOOD_allbrites,FOOD,SD
231.21,C5-Branched_dibasic_acid_metabolism,SDBP4_FOOD_allbrites,FOOD,SD
0,Caffeine_metabolism,SBBP1_FOOD_allbrites,FOOD,SB
0,Caffeine_metabolism,SBBP2_FOOD_allbrites,FOOD,SB
0,Caffeine_metabolism,SDBP3_FOOD_allbrites,FOOD,SD
0,Caffeine_metabolism,SDBP4_FOOD_allbrites,FOOD,SD
13.39,Calcium_signaling_pathway,SBBP1_FOOD_allbrites,FOOD,SB
26.46,Calcium_signaling_pathway,SBBP2_FOOD_allbrites,FOOD,SB
0,Calcium_signaling_pathway,SDBP3_FOOD_allbrites,FOOD,SD
0,Calcium_signaling_pathway,SDBP4_FOOD_allbrites,FOOD,SD
0,cAMP_signaling_pathway,SBBP1_FOOD_allbrites,FOOD,SB
292.68,cAMP_signaling_pathway,SBBP2_FOOD_allbrites,FOOD,SB
0,cAMP_signaling_pathway,SDBP3_FOOD_allbrites,FOOD,SD
0,cAMP_signaling_pathway,SDBP4_FOOD_allbrites,FOOD,SD
5352.74,Cancer:_overview,SBBP1_FOOD_allbrites,FOOD,SB
4060.08,Cancer:_overview,SBBP2_FOOD_allbrites,FOOD,SB
5937.52,Cancer:_overview,SDBP3_FOOD_allbrites,FOOD,SD
5884.7,Cancer:_overview,SDBP4_FOOD_allbrites,FOOD,SD
103.25,Cancer:_specific_types,SBBP1_FOOD_allbrites,FOOD,SB
95.8,Cancer:_specific_types,SBBP2_FOOD_allbrites,FOOD,SB
62.58,Cancer:_specific_types,SDBP3_FOOD_allbrites,FOOD,SD
74.74,Cancer:_specific_types,SDBP4_FOOD_allbrites,FOOD,SD
20.34,Caprolactam_degradation,SBBP1_FOOD_allbrites,FOOD,SB
8.54,Caprolactam_degradation,SBBP2_FOOD_allbrites,FOOD,SB
0,Caprolactam_degradation,SDBP3_FOOD_allbrites,FOOD,SD
0,Caprolactam_degradation,SDBP4_FOOD_allbrites,FOOD,SD
0,Carbapenem_biosynthesis,SBBP1_FOOD_allbrites,FOOD,SB
0,Carbapenem_biosynthesis,SBBP2_FOOD_allbrites,FOOD,SB
0,Carbapenem_biosynthesis,SDBP3_FOOD_allbrites,FOOD,SD
0,Carbapenem_biosynthesis,SDBP4_FOOD_allbrites,FOOD,SD
0,Carbohydrate_digestion_and_absorption,SBBP1_FOOD_allbrites,FOOD,SB
0,Carbohydrate_digestion_and_absorption,SBBP2_FOOD_allbrites,FOOD,SB
0,Carbohydrate_digestion_and_absorption,SDBP3_FOOD_allbrites,FOOD,SD
0,Carbohydrate_digestion_and_absorption,SDBP4_FOOD_allbrites,FOOD,SD
31801.99,Carbohydrate_metabolism,SBBP1_FOOD_allbrites,FOOD,SB
33793.75,Carbohydrate_metabolism,SBBP2_FOOD_allbrites,FOOD,SB
39458.75,Carbohydrate_metabolism,SDBP3_FOOD_allbrites,FOOD,SD
33468.74,Carbohydrate_metabolism,SDBP4_FOOD_allbrites,FOOD,SD
1900.6,Carbon_fixation_by_Calvin_cycle,SBBP1_FOOD_allbrites,FOOD,SB
2390.21,Carbon_fixation_by_Calvin_cycle,SBBP2_FOOD_allbrites,FOOD,SB
3352.23,Carbon_fixation_by_Calvin_cycle,SDBP3_FOOD_allbrites,FOOD,SD
2729.58,Carbon_fixation_by_Calvin_cycle,SDBP4_FOOD_allbrites,FOOD,SD
37.58,Cardiac_muscle_contraction,SBBP1_FOOD_allbrites,FOOD,SB
12.59,Cardiac_muscle_contraction,SBBP2_FOOD_allbrites,FOOD,SB
0,Cardiac_muscle_contraction,SDBP3_FOOD_allbrites,FOOD,SD
3.68,Cardiac_muscle_contraction,SDBP4_FOOD_allbrites,FOOD,SD
5287.43,Cardiovascular_disease,SBBP1_FOOD_allbrites,FOOD,SB
4465.11,Cardiovascular_disease,SBBP2_FOOD_allbrites,FOOD,SB
6619.89,Cardiovascular_disease,SDBP3_FOOD_allbrites,FOOD,SD
6256.13,Cardiovascular_disease,SDBP4_FOOD_allbrites,FOOD,SD
0,Carotenoid_biosynthesis,SBBP1_FOOD_allbrites,FOOD,SB
0,Carotenoid_biosynthesis,SBBP2_FOOD_allbrites,FOOD,SB
25.89,Carotenoid_biosynthesis,SDBP3_FOOD_allbrites,FOOD,SD
0,Carotenoid_biosynthesis,SDBP4_FOOD_allbrites,FOOD,SD
2459.11,Cationic_antimicrobial_peptide_(CAMP)_resistance,SBBP1_FOOD_allbrites,FOOD,SB
2505.83,Cationic_antimicrobial_peptide_(CAMP)_resistance,SBBP2_FOOD_allbrites,FOOD,SB
2380.21,Cationic_antimicrobial_peptide_(CAMP)_resistance,SDBP3_FOOD_allbrites,FOOD,SD
2855.86,Cationic_antimicrobial_peptide_(CAMP)_resistance,SDBP4_FOOD_allbrites,FOOD,SD
